repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
octocat/Hello-World,0.00 ,0.00 ,612.00 ,316.00 ,2.00 ,NULL
EddieHubCommunity/support,271.00 ,150.00 ,536.00 ,6.00 ,71.00 ,NULL
ethereum/aleth,0.00 ,0.00 ,313.00 ,27.00 ,154.00 ,C++
localstack/localstack,0.00 ,0.00 ,290.00 ,30.00 ,434.00 ,Python
education/classroom,0.00 ,589.00 ,202.00 ,22.00 ,67.00 ,Ruby
shobhit97/open-gpstracker,0.00 ,0.00 ,172.00 ,0.00 ,3.00 ,Java
donnemartin/system-design-primer,0.00 ,0.00 ,164.00 ,164.00 ,115.00 ,Python
jgthms/bulma,0.00 ,0.00 ,151.00 ,159.00 ,380.00 ,CSS
jgthms/bulma,0.00 ,0.00 ,151.00 ,159.00 ,380.00 ,CSS
sukritishah15/DS-Algo-Point,956.00 ,289.00 ,142.00 ,16.00 ,186.00 ,Java
taniarascia/comments,4.00 ,0.00 ,117.00 ,0.00 ,0.00 ,NULL
trailofbits/algo,0.00 ,0.00 ,115.00 ,10.00 ,163.00 ,Jinja
octocat/octocat.github.io,233.00 ,198.00 ,106.00 ,18.00 ,0.00 ,CSS
felangel/bloc,0.00 ,0.00 ,85.00 ,6.00 ,169.00 ,Dart
iamrajiv/new-keptn-docs-engine,0.00 ,1.00 ,81.00 ,3.00 ,0.00 ,JavaScript
SauravMukherjee44/Aec-Library-Website,5.00 ,2.00 ,81.00 ,29.00 ,184.00 ,HTML
mattgallagher/AudioStreamer,0.00 ,566.00 ,75.00 ,6.00 ,7.00 ,Objective-C
WhiteHouse/petitions,0.00 ,353.00 ,65.00 ,16.00 ,25.00 ,JavaScript
EddieHubCommunity/LinkFree,0.00 ,956.00 ,63.00 ,22.00 ,658.00 ,JavaScript
rrousselGit/freezed,0.00 ,169.00 ,61.00 ,6.00 ,73.00 ,Dart
google/accompanist,0.00 ,389.00 ,59.00 ,6.00 ,75.00 ,Kotlin
brettkromkamp/contextualise,960.00 ,43.00 ,57.00 ,0.00 ,6.00 ,Python
devraj/google-diff-match-patch,0.00 ,0.00 ,57.00 ,0.00 ,0.00 ,Python
ritwickdey/live-server-web-extension,598.00 ,237.00 ,56.00 ,8.00 ,3.00 ,JavaScript
ritwickdey/live-server-web-extension,598.00 ,237.00 ,56.00 ,8.00 ,3.00 ,JavaScript
WhiteHouse/cyber-acquisitions,8.00 ,37.00 ,54.00 ,5.00 ,5.00 ,CSS
xoreaxeaxeax/sandsifter,0.00 ,398.00 ,53.00 ,9.00 ,0.00 ,Python
EddieHubCommunity/awesome-github-profiles,925.00 ,612.00 ,51.00 ,9.00 ,434.00 ,HTML
adrianhajdin/project_cryptoverse,0.00 ,298.00 ,49.00 ,16.00 ,2.00 ,JavaScript
openfoodfacts/api-documentation,11.00 ,7.00 ,48.00 ,7.00 ,10.00 ,HTML
florinpop17/app-ideas,0.00 ,0.00 ,46.00 ,235.00 ,68.00 ,NULL
adrianhajdin/project_e_commerce,0.00 ,450.00 ,45.00 ,5.00 ,0.00 ,JavaScript
samczsun/Skype4J,144.00 ,53.00 ,43.00 ,2.00 ,10.00 ,Java
donnemartin/gitsome,0.00 ,460.00 ,43.00 ,14.00 ,28.00 ,Python
education/classroom-assistant,101.00 ,39.00 ,43.00 ,2.00 ,17.00 ,JavaScript
aviaryan/Clipjump,332.00 ,58.00 ,42.00 ,2.00 ,3.00 ,AutoHotkey
antonmedv/expr,0.00 ,216.00 ,41.00 ,12.00 ,33.00 ,Go
education/teachers,176.00 ,28.00 ,39.00 ,0.00 ,2.00 ,NULL
octocat/hello-worId,176.00 ,114.00 ,35.00 ,9.00 ,0.00 ,NULL
arogozhnikov/einops,0.00 ,249.00 ,34.00 ,5.00 ,18.00 ,Python
SauravMukherjee44/CodeIN-Community-Website,70.00 ,142.00 ,34.00 ,8.00 ,65.00 ,HTML
donnemartin/haxor-news,0.00 ,177.00 ,34.00 ,5.00 ,9.00 ,Python
anuraghazra/anuraghazra,228.00 ,0.00 ,33.00 ,4.00 ,3.00 ,NULL
sagesharp/foss-heartbeat,297.00 ,40.00 ,33.00 ,3.00 ,11.00 ,Python
donnemartin/interactive-coding-challenges,0.00 ,0.00 ,32.00 ,36.00 ,42.00 ,Python
khannakshat7/Elektra,38.00 ,85.00 ,32.00 ,18.00 ,20.00 ,HTML
ethereum/act,126.00 ,22.00 ,31.00 ,0.00 ,9.00 ,Haskell
gylidian/gylidian.github.io,0.00 ,0.00 ,31.00 ,0.00 ,0.00 ,HTML
donnemartin/saws,0.00 ,278.00 ,30.00 ,6.00 ,8.00 ,Python
localstack/docs,21.00 ,32.00 ,28.00 ,6.00 ,44.00 ,SCSS
adrianhajdin/project_graphql_blog,977.00 ,233.00 ,28.00 ,5.00 ,0.00 ,JavaScript
garimasingh128/awesome-python-projects,440.00 ,127.00 ,27.00 ,14.00 ,30.00 ,Jupyter Notebook
WhiteHouse/api-standards,0.00 ,910.00 ,27.00 ,7.00 ,12.00 ,NULL
openfoodfacts/hunger-games,2.00 ,6.00 ,27.00 ,2.00 ,9.00 ,JavaScript
adrianhajdin/ecommerce_sanity_stripe,907.00 ,220.00 ,27.00 ,18.00 ,0.00 ,JavaScript
education/teachers_pet,184.00 ,74.00 ,26.00 ,9.00 ,9.00 ,Ruby
offensive-security/kali-nethunter,0.00 ,897.00 ,26.00 ,3.00 ,33.00 ,NULL
octocat/git-consortium,135.00 ,67.00 ,25.00 ,10.00 ,0.00 ,NULL
btholt/complete-intro-to-react,0.00 ,961.00 ,25.00 ,11.00 ,15.00 ,JavaScript
lynxerzhang/JSSkills,0.00 ,0.00 ,25.00 ,0.00 ,0.00 ,JavaScript
feross/buffer,0.00 ,214.00 ,24.00 ,14.00 ,62.00 ,JavaScript
ethereum/beacon-APIs,190.00 ,106.00 ,24.00 ,11.00 ,25.00 ,HTML
loveBabbar/CodeHelp-DSA-Busted-Series,0.00 ,913.00 ,24.00 ,125.00 ,19.00 ,C++
arkokoley/pdfvuer,722.00 ,114.00 ,24.00 ,0.00 ,17.00 ,Vue
rrousselGit/flutter_hooks,0.00 ,142.00 ,23.00 ,2.00 ,45.00 ,Dart
donnemartin/dev-setup,0.00 ,0.00 ,23.00 ,10.00 ,16.00 ,Python
adrianhajdin/project_chat_application,0.00 ,973.00 ,23.00 ,24.00 ,0.00 ,JavaScript
thrau/jarchivelib,183.00 ,33.00 ,23.00 ,4.00 ,7.00 ,Java
arogozhnikov/hep_ml,151.00 ,58.00 ,22.00 ,0.00 ,8.00 ,Jupyter Notebook
wellington1993/avaliacao_desenvolvedor,1.00 ,70.00 ,22.00 ,15.00 ,0.00 ,Ruby
wellington1993/avaliacao_desenvolvedor,1.00 ,70.00 ,22.00 ,15.00 ,0.00 ,Ruby
Tyriar/dotfiles,31.00 ,5.00 ,21.00 ,0.00 ,0.00 ,Shell
ralexstokes/ethereum-consensus,41.00 ,11.00 ,21.00 ,0.00 ,7.00 ,Rust
majkinetor/au,214.00 ,79.00 ,21.00 ,0.00 ,24.00 ,PowerShell
trailofbits/cb-multios,465.00 ,100.00 ,21.00 ,3.00 ,16.00 ,C
google/adb-sync,0.00 ,156.00 ,21.00 ,7.00 ,7.00 ,Python
tapaswenipathak/CFP,0.00 ,1.00 ,21.00 ,0.00 ,2.00 ,Python
offensive-security/exploitdb,0.00 ,0.00 ,21.00 ,18.00 ,17.00 ,C
google/access-bridge-explorer,97.00 ,46.00 ,21.00 ,0.00 ,0.00 ,C#
btholt/complete-intro-to-react-v5,0.00 ,0.00 ,21.00 ,32.00 ,5.00 ,JavaScript
PawanKolhe/color-calendar,130.00 ,58.00 ,20.00 ,7.00 ,0.00 ,TypeScript
Chirag321ratvekar/MLOPs-Automation-,0.00 ,1.00 ,20.00 ,0.00 ,0.00 ,Jupyter Notebook
majkinetor/au-packages,53.00 ,40.00 ,19.00 ,0.00 ,22.00 ,HTML
jgthms/css-reference,0.00 ,326.00 ,19.00 ,18.00 ,3.00 ,HTML
adrianhajdin/chat_application,829.00 ,413.00 ,19.00 ,1.00 ,0.00 ,JavaScript
justinshenk/fer,210.00 ,62.00 ,19.00 ,0.00 ,5.00 ,Jupyter Notebook
jgthms/css-reference,0.00 ,326.00 ,19.00 ,18.00 ,3.00 ,HTML
justinshenk/fer,210.00 ,62.00 ,19.00 ,0.00 ,5.00 ,Jupyter Notebook
ethereum/cbc-casper,227.00 ,42.00 ,19.00 ,3.00 ,9.00 ,Python
kdeldycke/meta-package-manager,272.00 ,27.00 ,18.00 ,7.00 ,15.00 ,Python
rupa/epub,360.00 ,62.00 ,18.00 ,5.00 ,2.00 ,Python
LiveOverflow/PwnAdventure3,548.00 ,124.00 ,18.00 ,3.00 ,2.00 ,C++
ethereum/casper,681.00 ,181.00 ,18.00 ,5.00 ,19.00 ,Python
garimasingh128/Alexa-skills-starters,24.00 ,15.00 ,18.00 ,0.00 ,5.00 ,Python
google/addlicense,530.00 ,143.00 ,18.00 ,16.00 ,36.00 ,Go
davglass/doorbot,315.00 ,59.00 ,18.00 ,7.00 ,6.00 ,JavaScript
benawad/astral-bugs,42.00 ,1.00 ,18.00 ,0.00 ,0.00 ,NULL
vicky002/AlgoWiki,0.00 ,0.00 ,17.00 ,13.00 ,194.00 ,CSS
bradtraversy/alexis_speech_assistant,261.00 ,177.00 ,17.00 ,10.00 ,6.00 ,Python
EddieHubCommunity/good-first-issue-finder,133.00 ,92.00 ,17.00 ,2.00 ,31.00 ,Svelte
EddieHubCommunity/EddieBot,119.00 ,129.00 ,16.00 ,6.00 ,82.00 ,TypeScript
openfoodfacts/offf,0.00 ,0.00 ,16.00 ,0.00 ,0.00 ,NULL
offensive-security/nethunter-app,281.00 ,159.00 ,16.00 ,2.00 ,22.00 ,NULL
anuraghazra/BugVilla,206.00 ,70.00 ,16.00 ,19.00 ,2.00 ,TypeScript
Shreeshrii/tessdata_shreetest,133.00 ,28.00 ,16.00 ,0.00 ,0.00 ,Shell
openfoodfacts/off-category-classification,4.00 ,3.00 ,16.00 ,21.00 ,6.00 ,Jupyter Notebook
salil-naik/css-art-gallery,126.00 ,206.00 ,16.00 ,5.00 ,29.00 ,JavaScript
xoreaxeaxeax/movfuscator,0.00 ,449.00 ,16.00 ,4.00 ,0.00 ,C
smaranjitghose/awesome-portfolio-websites,0.00 ,0.00 ,16.00 ,4.00 ,151.00 ,HTML
google/acme,382.00 ,55.00 ,16.00 ,7.00 ,10.00 ,Go
florinpop17/100Days100Projects,430.00 ,69.00 ,16.00 ,1.00 ,0.00 ,NULL
education/autograding,27.00 ,30.00 ,15.00 ,22.00 ,0.00 ,TypeScript
ethereum/btcrelay,564.00 ,174.00 ,15.00 ,7.00 ,6.00 ,Python
zemse/create-solidity-project,8.00 ,9.00 ,15.00 ,19.00 ,3.00 ,JavaScript
WhiteHouse/fortyfour,339.00 ,58.00 ,15.00 ,6.00 ,5.00 ,CSS
EddieHubCommunity/EddieHubLive,15.00 ,12.00 ,15.00 ,0.00 ,7.00 ,JavaScript
stemount/cloutbot,5.00 ,2.00 ,14.00 ,2.00 ,0.00 ,NULL
curiousily/Getting-Things-Done-with-Pytorch,0.00 ,513.00 ,14.00 ,3.00 ,0.00 ,Jupyter Notebook
jgthms/bulma-website,40.00 ,35.00 ,14.00 ,6.00 ,12.00 ,CSS
